City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,afrikanda,67.44,32.78,42.58,84,42,4.38,RU,1590518677
371,hudson bay,52.85,-102.38,72.66,36,100,7.14,CA,1590518677
372,luderitz,-26.65,15.16,59.0,54,0,16.11,NA,1590518678
373,namie,37.48,141.0,62.01,95,100,3.4,JP,1590518678
374,rjukan,59.88,8.59,61.0,56,7,3.0,NO,1590518679
375,san jeronimo,-11.95,-75.28,61.47,30,0,6.24,PE,1590518679
376,rayachoti,14.05,78.75,85.33,59,66,10.45,IN,1590518680
377,qui nhon,13.77,109.23,81.19,82,100,4.72,VN,1590518680
378,minab,27.15,57.08,91.4,46,0,6.93,IR,1590518680
379,anadyr,64.75,177.48,33.8,98,75,13.42,RU,1590518681
380,zyryanka,65.75,150.85,46.78,55,0,2.42,RU,1590518681
381,sao filipe,14.9,-24.5,76.23,71,100,7.65,CV,1590518682
382,goryachegorsk,55.41,88.92,43.75,90,100,14.16,RU,1590518682
383,jiaojiang,28.68,121.44,70.0,73,100,5.03,CN,1590518683
384,russell,32.35,-85.2,73.4,83,90,9.17,US,1590518684
385,tukrah,32.53,20.58,67.05,72,0,10.16,LY,1590518684
386,warwick,41.7,-71.42,82.99,64,20,10.29,US,1590518684
387,kulhudhuffushi,6.62,73.07,84.49,80,100,14.0,MV,1590518685
388,kloulklubed,7.04,134.26,78.8,88,75,4.7,PW,1590518685
389,san cristobal,7.77,-72.22,96.8,32,40,23.04,VE,1590518686
390,dabat,12.98,37.77,63.59,66,70,2.68,ET,1590518686
391,buin,-33.73,-70.75,75.2,31,0,5.82,CL,1590518687
392,bama,11.52,13.69,95.95,27,97,3.67,NG,1590518688
393,nogliki,51.83,143.17,44.17,81,100,17.9,RU,1590518688
394,lompoc,34.64,-120.46,73.0,60,1,12.75,US,1590518689
395,khani,41.96,42.96,64.4,72,2,4.7,GE,1590518689
396,tessalit,20.2,1.01,98.73,13,100,7.96,ML,1590518689
397,clyde river,70.47,-68.59,26.6,79,75,4.7,CA,1590518690
398,yertarskiy,56.79,64.3,49.48,86,0,2.48,RU,1590518690
399,drayton valley,53.22,-114.99,48.99,82,63,8.14,CA,1590518691
400,trinidad,-14.83,-64.9,82.4,51,20,4.7,BO,1590518692
401,belaya gora,68.53,146.42,49.64,45,12,15.79,RU,1590518692
402,vung tau,10.35,107.08,84.51,75,4,10.83,VN,1590518693
403,coihaique,-45.58,-72.07,53.6,50,40,4.7,CL,1590518693
404,mount isa,-20.73,139.5,42.8,81,100,4.7,AU,1590518694
405,imeni poliny osipenko,52.42,136.49,49.64,66,90,3.2,RU,1590518694
406,vostok,46.49,135.88,38.82,99,0,3.18,RU,1590518694
407,taoudenni,22.68,-3.98,99.05,10,0,9.57,ML,1590518695
408,balakhninskiy,58.01,114.28,51.69,79,87,4.45,RU,1590518695
409,homestead,25.47,-80.48,89.01,79,75,14.99,US,1590518696
410,chumikan,54.72,135.31,36.9,92,100,5.28,RU,1590518696
411,caravelas,-17.71,-39.25,81.93,82,100,3.06,BR,1590518696
412,cayambe,0.05,-78.13,77.0,27,40,18.34,EC,1590518697
413,ternate,0.8,127.4,81.12,77,20,4.29,ID,1590518697
414,ankpa,7.37,7.63,79.18,82,100,2.62,NG,1590518698
415,newcastleton,55.18,-2.81,59.0,54,100,13.87,GB,1590518698
416,chuy,-33.7,-53.46,56.16,66,81,12.64,UY,1590518699
417,kasongo,-4.45,26.67,75.9,71,0,1.48,CD,1590518700
418,talnakh,69.49,88.4,32.0,94,75,20.13,RU,1590518700
419,ust-ishim,57.69,71.17,46.04,78,0,5.26,RU,1590518701
420,samagaltay,50.6,95.0,55.74,56,51,4.32,RU,1590518701
421,kharan,28.58,65.42,90.61,11,0,7.96,PK,1590518702
422,paamiut,61.99,-49.67,37.94,93,96,12.93,GL,1590518702
423,pacific grove,36.62,-121.92,88.0,60,1,4.7,US,1590518702
424,sohag,26.56,31.69,82.44,16,0,11.43,EG,1590518413
425,kajaani,64.23,27.73,64.4,27,52,2.24,FI,1590518704
426,bintulu,3.17,113.03,80.6,94,75,1.12,MY,1590518704
427,mecca,21.43,39.83,90.3,28,27,2.57,SA,1590518705
428,christchurch,-43.53,172.63,32.0,83,90,4.14,NZ,1590518705
429,taltal,-25.4,-70.48,65.03,61,22,2.75,CL,1590518705
430,ahuimanu,21.44,-157.84,78.8,74,90,6.76,US,1590518706
431,syracuse,37.09,15.28,69.8,68,40,4.7,IT,1590518706
432,santa marta,11.24,-74.2,91.4,66,75,8.05,CO,1590518707
433,zhezkazgan,47.8,67.71,79.45,30,0,11.72,KZ,1590518707
434,leshukonskoye,64.9,45.76,47.77,77,64,1.07,RU,1590518505
435,hokitika,-42.72,170.97,47.03,64,11,3.91,NZ,1590518708
436,ushtobe,45.25,77.98,75.07,27,0,10.98,KZ,1590518709
437,liverpool,53.41,-2.98,64.99,55,48,11.41,GB,1590518514
438,najran,17.49,44.13,86.0,20,0,4.7,SA,1590518710
439,almaznyy,48.04,40.05,55.4,87,0,4.05,RU,1590518710
440,husavik,66.04,-17.34,50.0,43,40,25.28,IS,1590518710
441,callaway,30.15,-85.57,82.0,74,90,9.17,US,1590518711
442,iquitos,-3.75,-73.25,82.4,74,75,5.82,PE,1590518711
443,ugoofaaru,5.67,73.0,84.22,81,68,12.71,MV,1590518712
444,bentiu,9.23,29.83,83.73,61,18,3.53,SS,1590518712
445,bograd,54.23,90.83,68.0,68,9,13.42,RU,1590518712
446,fairbanks,64.84,-147.72,52.0,71,90,4.7,US,1590518623
447,ordu,40.91,37.68,44.55,100,18,2.26,TR,1590518714
448,sakakah,29.97,40.21,86.0,12,0,8.05,SA,1590518714
449,dzilam gonzalez,21.28,-88.93,105.82,30,0,2.89,MX,1590518715
450,de-kastri,51.47,140.78,43.54,67,66,5.64,RU,1590518715
451,havoysund,71.0,24.66,50.0,66,100,2.24,NO,1590518716
452,thyolo,-16.07,35.14,67.75,65,5,4.85,MW,1590518716
453,praya,14.92,-23.51,80.6,65,82,2.24,CV,1590518717
454,grindavik,63.84,-22.43,46.4,75,40,17.22,IS,1590518717
455,vargashi,55.36,65.85,50.29,85,0,6.67,RU,1590518717
456,nyrob,60.73,56.72,49.44,80,80,0.6,RU,1590518718
457,vallenar,-28.57,-70.76,79.48,25,0,7.49,CL,1590518718
458,tabuk,17.42,121.44,75.6,86,100,2.44,PH,1590518719
459,san quintin,30.48,-115.95,74.23,56,0,13.53,MX,1590518719
460,roanoke,37.27,-79.94,75.99,64,75,3.36,US,1590518720
461,le pradet,43.11,6.02,75.0,64,65,4.7,FR,1590518720
462,zaragoza,41.66,-0.88,82.0,47,0,6.93,ES,1590518582
463,gambo,4.65,22.26,73.69,91,100,3.06,CF,1590518721
464,goderich,43.75,-81.72,87.01,64,0,5.68,CA,1590518721
